epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,27958.4,0.84833,0.41282,0.8813,0.98879,0.98883,0.9946,0.81328,0.79978,0.34365,0.89415,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,28785.7,0.8316,0.40627,0.87726,0.9887,0.98969,0.99462,0.81612,0.7924,0.34078,0.8927,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,29613.5,0.8185,0.39641,0.87338,0.99019,0.98997,0.99465,0.81897,0.7858,0.3402,0.89108,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,30442.2,0.80612,0.39304,0.87071,0.99037,0.98997,0.99468,0.82158,0.77929,0.33787,0.88949,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,31270.2,0.7889,0.38631,0.86668,0.99027,0.99072,0.9947,0.8233,0.7729,0.33674,0.88777,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,32097.3,0.77753,0.38107,0.86372,0.99083,0.99095,0.99473,0.82467,0.76751,0.33421,0.8866,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,32926.6,0.75936,0.37196,0.86001,0.99027,0.99121,0.99474,0.82647,0.76228,0.33233,0.88555,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,33754.7,0.74533,0.36599,0.85582,0.99113,0.99178,0.99477,0.8271,0.75703,0.32951,0.88482,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,34583.1,0.72873,0.35896,0.8533,0.99162,0.99169,0.99479,0.82876,0.75242,0.3271,0.88396,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,35426.1,0.68189,0.32325,0.8567,0.99228,0.99198,0.9948,0.83123,0.74702,0.32376,0.88283,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,36252.9,0.64582,0.31027,0.84786,0.99238,0.99198,0.99482,0.83271,0.74201,0.32276,0.88189,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,37080.4,0.63007,0.30339,0.84199,0.99272,0.99227,0.99484,0.83419,0.73644,0.3192,0.88076,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,37908.6,0.60862,0.29322,0.839,0.99369,0.99284,0.99485,0.83682,0.73048,0.31637,0.87958,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,38736.8,0.59025,0.28705,0.83191,0.99483,0.99295,0.99491,0.83929,0.72501,0.3147,0.87869,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,39563.6,0.57293,0.28157,0.83052,0.99472,0.99313,0.99491,0.84166,0.71958,0.31315,0.87776,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,40391.1,0.55745,0.27339,0.8259,0.99473,0.99313,0.99492,0.84369,0.71502,0.31071,0.87697,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,41219.3,0.54236,0.26909,0.82246,0.99267,0.9957,0.99493,0.84519,0.70978,0.30883,0.87601,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,42047.3,0.52696,0.2631,0.81969,0.99315,0.99619,0.99493,0.84672,0.70487,0.30741,0.87504,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,42875.3,0.51862,0.25829,0.81776,0.99331,0.99656,0.99493,0.84821,0.70067,0.30523,0.87443,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
