epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,18314.3,1.00485,0.61527,0.97534,0.93303,0.90629,0.93337,0.63684,0.93568,0.45911,0.95561,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,18879.4,0.9946,0.60679,0.97297,0.93996,0.90729,0.93546,0.64103,0.93342,0.45529,0.95517,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,19444.3,0.98088,0.59705,0.96842,0.92973,0.91061,0.93131,0.64274,0.9242,0.45612,0.95381,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,20008.7,0.96998,0.58956,0.96246,0.93528,0.90807,0.93459,0.64449,0.91435,0.45265,0.94972,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,20573.6,0.96616,0.58517,0.96135,0.93352,0.91064,0.93733,0.64848,0.90708,0.44613,0.94865,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,21138.1,0.95493,0.57739,0.95675,0.9317,0.91077,0.93678,0.65141,0.90398,0.44488,0.94851,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,21703.5,0.95083,0.57343,0.95617,0.93208,0.90997,0.9402,0.6545,0.89758,0.4424,0.94671,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,22268.1,0.94036,0.56966,0.95385,0.92531,0.91495,0.93659,0.65481,0.89229,0.44159,0.94425,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,22833.1,0.9347,0.56305,0.95152,0.93145,0.91075,0.93811,0.65676,0.88453,0.43825,0.94161,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,23397.4,0.92572,0.55492,0.9474,0.93292,0.90925,0.93768,0.65588,0.88222,0.43751,0.93996,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,23961.6,0.91607,0.55095,0.94351,0.93025,0.90726,0.93692,0.65723,0.8758,0.43474,0.93712,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,24526.7,0.9091,0.54874,0.94291,0.93462,0.90297,0.93828,0.66081,0.87162,0.43438,0.93501,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,25091.3,0.89852,0.5365,0.93964,0.93419,0.90392,0.93933,0.66146,0.86852,0.43423,0.93384,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,25655.9,0.89481,0.53589,0.9379,0.93761,0.90708,0.94102,0.66204,0.86607,0.43072,0.93375,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,26220,0.88682,0.5321,0.93702,0.93732,0.91035,0.93854,0.6646,0.86182,0.42937,0.93245,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,26785,0.87822,0.52662,0.93126,0.93749,0.91106,0.93742,0.66591,0.85879,0.42824,0.93187,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,27349.1,0.87063,0.52243,0.92849,0.93835,0.91206,0.93773,0.66659,0.85727,0.42647,0.93149,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,27913.4,0.87097,0.52086,0.92781,0.94166,0.90961,0.93761,0.66722,0.85494,0.42483,0.93138,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,28478.1,0.86237,0.5161,0.92702,0.94059,0.90935,0.93863,0.66851,0.85268,0.4224,0.93071,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,29042.2,0.85562,0.50865,0.92468,0.94245,0.90921,0.93831,0.6685,0.84904,0.42092,0.9297,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,29606.7,0.84748,0.5044,0.92286,0.93675,0.91297,0.93711,0.6697,0.84661,0.41984,0.92921,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,30170.8,0.83936,0.50086,0.91954,0.93596,0.91337,0.93704,0.67075,0.8458,0.41951,0.92848,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,30735.6,0.83071,0.49566,0.91665,0.93289,0.915,0.93734,0.67083,0.8435,0.41902,0.92783,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,31300.6,0.82915,0.4938,0.91744,0.93289,0.91555,0.93788,0.67204,0.8419,0.41868,0.9269,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,31864.5,0.81649,0.48927,0.91256,0.9321,0.9156,0.93791,0.67255,0.83856,0.41841,0.92575,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,32428.8,0.81208,0.48479,0.91232,0.93052,0.91521,0.93783,0.67292,0.83607,0.41739,0.92503,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,32992.6,0.80851,0.48016,0.91152,0.93016,0.91529,0.93835,0.6736,0.83353,0.41645,0.92428,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,33558.2,0.80363,0.47731,0.90809,0.93201,0.91365,0.93815,0.67496,0.83217,0.41482,0.92382,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,34122,0.79152,0.46986,0.90528,0.93192,0.91735,0.93841,0.67541,0.82948,0.41328,0.92333,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,34686.3,0.78906,0.4698,0.90568,0.93073,0.9178,0.93877,0.67694,0.82747,0.41295,0.92319,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,35250.6,0.78291,0.46432,0.90226,0.92969,0.91799,0.9386,0.67823,0.82525,0.41222,0.92281,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
